Entity Name	Entity type	Gene Symbol	Sources(; separated)	Level4	Level3	Level2	Model_Of_Inheritance	Phenotypes	Omim	Orphanet	HPO	Publications	Description	Flagged	GEL_Status	UserRatings_Green_amber_red	version	ready	Mode of pathogenicity	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Position Chromosome	Position GRCh37 Start	Position GRCh37 End	Position GRCh38 Start	Position GRCh38 End	STR Repeated Sequence	STR Normal Repeats	STR Pathogenic Repeats	Region Haploinsufficiency Score	Region Triplosensitivity Score	Region Required Overlap Percentage	Region Variant Type	Region Verbose Name
AP3D1	gene	AP3D1	Expert Review Green;IUIS Classification December 2019;IUIS Classification February 2018;Literature	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	neutropenia;Immunodeficient HPS;seizures;Diseases of Immune Dysregulation;Hermansky-Pudlak syndrome with neutropenia;neuordevelopmental delay;albinism;?Hermansky-Pudlak syndrome 10, 617050;Hermansky-Pudlak syndrome;Oculocutaneous albinism, recurrent infections, seizures, hearing loss and neurodevelopmental delay;Oculocutaneous albinism, severe neutropenia, recurrent infections, seizures, hearing loss and neurodevelopmental delay;HSP10				26744459;32086639;32048120		False	3	0;0;100	1.143	False		ENSG00000065000	ENSG00000065000	HGNC:568													
APOL1	gene	APOL1	ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification December 2019;IUIS Classification February 2018;Victorian Clinical Genetics Services	COVID-19 research		Viral research	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Trypanosomias;Trypanosomiasis, susceptibility to;Defects in Intrinsic and Innate Immunity;Trypanosomiasis				16720107;15894515;25100047;28827791;32086639;29470556;29077717;32048120;28537557		False	3	0;0;100	1.143	False		ENSG00000100342	ENSG00000100342	HGNC:618													
ARHGEF1	gene	ARHGEF1	Expert Review Green;IUIS Classification December 2019	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Predominantly Antibody Deficiencies;Recurrent infections, bronchiectasis;Immunodeficiency 62, 618459;ARHGEF1 deficiency				32086639;30521495;32048120		False	3	50;50;0	1.143	False		ENSG00000076928	ENSG00000076928	HGNC:681													
ARPC1B	gene	ARPC1B	Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Immunodeficiency 71 with inflammatory disease and congenital thrombocytopenia, OMIM:617718;Combined immune deficiency with or without thrombocytopenia;Inflammatory predisposition				29127144;28368018;27965109		False	3	100;0;0	1.143	False		ENSG00000130429	ENSG00000130429	HGNC:704													
ATM	gene	ATM	ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Ataxia-telangiectasia, OMIM:208900;Combined immunodeficiencies with associated or syndromic features;Ataxia, telangiectasia, pulmonary infections, lymphoreticular and other malignancies, increased alpha fetoprotein,  increased radiosensitivity, chromosomal instability and chromosomal translocations				27421701;2136770;27884168;7792600;2005780		False	3	100;0;0	1.143	False		ENSG00000149311	ENSG00000149311	HGNC:795													
ATP6AP1	gene	ATP6AP1	Expert Review Green;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH	COVID-19 research		Viral research	X-LINKED: hemizygous mutation in males, biallelic mutations in females	Immunodeficiency and hepatopathy with or without neurologic features;Hepatopathy, leukopenia, low copper;Predominantly Antibody Deficiencies;Immunodeficiency 47, 300972				27231034		False	3	100;0;0	1.143	False		ENSG00000071553	ENSG00000071553	HGNC:868													
B2M	gene	B2M	Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Immunodeficiency 43,241600;Immunodeficiency by defective expression of HLA class 1;Sinopulmonary infections, cutaneous granulomas. Absent _2m associated proteins MHC-I, CD1a, CD1b, CD1c;Immunodeficiencies affecting cellular and humoral immunity				25702838;4186801		False	3	100;0;0	1.143	False		ENSG00000166710	ENSG00000166710	HGNC:914													
BACH2	gene	BACH2	Expert Review Green;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH	COVID-19 research		Viral research	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Diseases of Immune Dysregulation;BACH2-related immunodeficiency and autoimmunity (BRIDA);hypogammaglobulinaemia;infantile onset enterocolitis;Lymphocytic colitis, sinopulmonary infections				27807919;28530713;27680876		False	3	100;0;0	1.143	False		ENSG00000112182	ENSG00000112182	HGNC:14078													
BCL10	gene	BCL10	Expert Review Green;GRID V2.0;IUIS Classification December 2019;IUIS Classification February 2018;Victorian Clinical Genetics Services	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Combined immunodeficiency with B cell, T cell, and fibroblast defects;?Immunodeficiency 37, 616098;Recurrent bacterial and viral infections, candidiasis, gastroenteritis;Immunodeficiencies affecting cellular and humoral immunity				32086639;32048120;25365219		False	3	0;100;0	1.143	False		ENSG00000142867	ENSG00000142867	HGNC:989													
BCL11B	gene	BCL11B	Expert Review Green;IUIS Classification December 2019;IUIS Classification February 2018	COVID-19 research		Viral research	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Combined immunodeficiencies with associated or syndromic features;leaky SCID;?Immunodeficiency 49, 617237;Immunodeficiencies affecting cellular and humoral immunity;Congenital abnormalities, neonatal teeth, dysmorphic facies, absent corpus callosum, neurocognitive deficits				29296816;32086639;32048120;27959755		False	3	0;100;0	1.143	False		ENSG00000127152	ENSG00000127152	HGNC:13222													
BLK	gene	BLK	Expert Review Green;Literature	COVID-19 research		Viral research	Unknown	Kawasaki disease				22446961;26182267;24023612;25645453;32200494		False	3	100;0;0	1.143	False		ENSG00000136573	ENSG00000136573	HGNC:1057													
BLM	gene	BLM	ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Immunodeficiency;Combined immunodeficiencies with associated or syndromic features;Bloom syndrome, 210900;Short stature, dysmorphic facies, sun-sensitive erythema, marrow failure, leukemia, lymphoma, chromosomal instability				17407155;8231788;9482582;9285778;7585968		False	3	100;0;0	1.143	False		ENSG00000197299	ENSG00000197299	HGNC:1058													
BLNK	gene	BLNK	A- or hypo-gammaglobulinaemia v1.25;ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Agammaglobulinemia;Agammaglobulinemia 4, 613502;Severe bacterial infections, normal numbers of pro-B cells;Agammaglobulinemia 4;Predominantly Antibody Deficiencies;agammaglobulinaemia with absent B cells				19302039;24582315;25893637;10583958		False	3	100;0;0	1.143	False		ENSG00000095585	ENSG00000095585	HGNC:14211													
BRCA1	gene	BRCA1	Expert Review Green;IUIS Classification December 2019	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Fanconi anemia, complementation group S, OMIM:617883;Normal to low NK, CNS, skeletal, skin, cardiac, GI, urogenital anomalies, increased chromosomal breakage;Bone marrow failure				32086639;32048120		False	3	0;0;0	1.143	False		ENSG00000012048	ENSG00000012048	HGNC:1100													
BRCA2	gene	BRCA2	Expert Review Green;IUIS Classification December 2019	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Fanconi anemia, complementation group D1, OMIM:605724;Normal to low NK, CNS, skeletal, skin, cardiac, GI, urogenital anomalies, increased chromosomal breakage;Bone marrow failure				32086639;32048120		False	3	0;0;0	1.143	False		ENSG00000139618	ENSG00000139618	HGNC:1101													
BRIP1	gene	BRIP1	Expert Review Green;IUIS Classification December 2019	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Fanconi anemia, complementation group J, OMIM:609054				32086639;32048120		False	3	100;0;0	1.143	False		ENSG00000136492	ENSG00000136492	HGNC:20473													
BTK	gene	BTK	A- or hypo-gammaglobulinaemia v1.25;ESID Registry 20171117;Expert Review Green;GOSH PID v.8.0;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	COVID-19 research		Viral research	X-LINKED: hemizygous mutation in males, biallelic mutations in females	Agammaglobulinemia, X-linked 1, 300755;Agammaglobulinemia, X-linked;Agammaglobulinemia, X-linked 1 (XLA);Agammaglobulinemia;Severe bacterial infections, normal numbers of pro-B cells;agammaglobulinaemia;Agammaglobulinemia and isolated hormone deficiency, 307200;Agammaglobulinemia and isolated hormone deficiency;Predominantly Antibody Deficiencies;CVID				20301626		False	3	100;0;0	1.143	False		ENSG00000010671	ENSG00000010671	HGNC:1133													
C17orf62	gene	C17orf62	Expert Review Green;IUIS Classification December 2019	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Autosomal recessive CGD EROS;Congenital defects of phagocyte number or function				30312704;30361506;32086639;32048120		False	3	50;50;0	1.143	False		ENSG00000178927	ENSG00000178927	HGNC:28672													
C1QA	gene	C1QA	ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	SLE, infections with encapsulated organisms;Complement component 1 deficiency;C1q deficiency, 613652;Complement Deficiencies;Immunodeficiency due to a classical component pathway complement deficiency				7594474;28601358;25133636;8840296;26032012;21654842		False	3	100;0;0	1.143	False		ENSG00000173372	ENSG00000173372	HGNC:1241													
C1QB	gene	C1QB	ESID Registry 20171117;Expert Review Green;GRID V2.0;Inherited complement deficiency v0.11;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	SLE, infections with encapsulated organisms;SLE;lupus-like disease;Complement component 1 deficiency;Immunodeficiency due to an early component of complement deficiency, 613652;C1q deficiency;susceptibility to invasive bacterial infection;Complement Deficiencies				9476130;2894352;24160257;12133956;25454803;23651859;17513176		False	3	100;0;0	1.143	False		ENSG00000173369	ENSG00000173369	HGNC:1242													
C1QC	gene	C1QC	ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	SLE, infections with encapsulated organisms;Complement component 1 deficiency;C1q deficiency, 613652;Complement Deficiencies;Immunodeficiency due to a classical component pathway complement deficiency				24157463;8630118;7900940;21654842		False	3	100;0;0	1.143	False		ENSG00000159189	ENSG00000159189	HGNC:1245													
C1R	gene	C1R	ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification December 2020;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	COVID-19 research		Viral research	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	SLE;pyogenic infections;Complement component 1 deficiency;SLE, infections with encapsulated organisms, Ehlers Danlos phenotype;Complement Deficiencies;C1r/C1s deficiency, combined, Lupus;Immunodeficiency due to a classical component pathway complement deficiency				28544690;21784777;27745832;29795138;28711143		False	3	80;20;0	1.143	False		ENSG00000159403	ENSG00000159403	HGNC:1246													
C1S	gene	C1S	ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification December 2021;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	COVID-19 research		Viral research	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	SLE;pyogenic infections;Complement component 1 deficiency;SLE, infections with encapsulated organisms, Ehlers Danlos phenotype;Complement Deficiencies;C1s deficiency, 613783;C1s deficiency, Lupus				27745832;11390518;20727163;9856483		False	3	80;20;0	1.143	False		ENSG00000182326	ENSG00000182326	HGNC:1247													
C2	gene	C2	ESID Registry 20171117;Expert Review Green;GRID V2.0;Inherited complement deficiency v0.11;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Complement Component C2 Deficiency;Lupus;Complement Deficiencies;SLE, infections with encapsulated organisms, atherosclerosis;C2 deficiency, 217000;Immunodeficiency due to C1, C4, or C2 component complement deficiency				1577763;15643297;11079100;8621452;7901282		False	3	100;0;0	1.143	False		ENSG00000166278	ENSG00000166278	HGNC:1248													
C3	gene	C3	ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification December 2022;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	COVID-19 research		Viral research	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Complement Deficiencies;Complement component 3 deficiency;Atypical hemolytic-uremic syndrome, dense deposit disease;Infections, glomerulonephritis, atypical hemolytic-uremic syndrome with GOF mutations;C3 deficiency, 613779				1350678;1976733;15781264;4117597		False	3	100;0;0	1.143	False		ENSG00000125730	ENSG00000125730	HGNC:1318													
C4A	gene	C4A	ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	C4a deficiency, 614380;Complement Deficiencies;SLE, infections with encapsulated organisms , partial deficiency is common (either C4A or C4B) and appears to have a modest effect on host defense;Complement component 4 deficiency;SLE predisposition;Immunodeficiency due to a classical component pathway complement deficiency;infections with encapsulated organisms				15294999;2295875;22482068		False	3	100;0;0	1.143	False		ENSG00000244731	ENSG00000244731	HGNC:1323													
C4B	gene	C4B	Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	C4B deficiency, 614379;SLE, infections with encapsulated organisms , partial deficiency is common (either C4A or C4B) and appears to have a modest effect on host defense;Complement Deficiencies;SLE predisposition				12626442;2355198;19062096;1569346;2788199		False	3	100;0;0	1.143	False		ENSG00000224389	ENSG00000224389	HGNC:1324													
C5	gene	C5	ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	C5 deficiency, 609536;Disseminated neisserial infections;Complement Deficiencies;Complement component 5 deficiency;Susceptibility to invasive bacterial infection, especially meningococcal				19375167;25534848;7730648		False	3	100;0;0	1.143	False		ENSG00000106804	ENSG00000106804	HGNC:1331													
C6	gene	C6	ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Disseminated neisserial infections;C6 deficiency, 612446;Complement Deficiencies;Susceptibility to invasive bacterial infection, especially meningococcal;Complement component 6 deficiency				9472666;8690922;12653841		False	3	100;0;0	1.143	False		ENSG00000039537	ENSG00000039537	HGNC:1339													
C7	gene	C7	ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Disseminated neisserial infections;Complement component 7 deficiency;Complement Deficiencies;C7 deficiency, 610102;Susceptibility to invasive bacterial infection, especially meningococcal				16771861;15554930;9844043;7762578		False	3	100;0;0	1.143	False		ENSG00000112936	ENSG00000112936	HGNC:1346													
C8A	gene	C8A	ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Disseminated neisserial infections;Complement component 8 deficiency;C8 deficiency, type I, 613790;Complement Deficiencies;Susceptibility to invasive bacterial infection, especially meningococcal				9759902		False	3	100;0;0	1.143	False		ENSG00000157131	ENSG00000157131	HGNC:1352													
C8B	gene	C8B	ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Disseminated neisserial infections;C8 deficiency, type II, 613789;Complement component 8 deficiency;Complement Deficiencies;Susceptibility to invasive bacterial infection, especially meningococcal				8098723;19434484;9476133;27183977		False	3	100;0;0	1.143	False		ENSG00000021852	ENSG00000021852	HGNC:1353													
C8G	gene	C8G	ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification December 2019;IUIS Classification February 2018;Victorian Clinical Genetics Services	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Complement Deficiencies;Complement factor 8 defect;Complement component 8 deficiency;Disseminated neisserial infections				32086639;32048120		False	3	0;0;100	1.143	False		ENSG00000176919	ENSG00000176919	HGNC:1354													
C9	gene	C9	ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Mild susceptibility to disseminated neisserial infections;Complement component 9 deficiency;Complement Deficiencies;Susceptibility to invasive bacterial infection, especially meningococcal;C9 deficiency, 613825				9634479;9570574;9144525;10072634		False	3	100;0;0	1.143	False		ENSG00000113600	ENSG00000113600	HGNC:1358													
CARD11	gene	CARD11	ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	COVID-19 research		Viral research	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	immunodeficiency 11B with atopic dermatitis (AD), 617638;CARD11 deficiency;Combined immunodeficiency;Autoimmune lymphoproliferative syndrome (ALPS);Pneumocystis jirovecii pneumonia, bacterial and viral infections;Severe atopy, recurrent infections;B cell expansion with NFKB and T cell anergy (BENTA) (AD), 616452;Atypical Severe Combined Immunodeficiency (Atypical SCID);Splenomegaly, lymphadenopathy, poor vaccine response;Immunodeficiencies affecting cellular and humoral immunity;Predominantly Antibody Deficiencies;Predominantly antibody deficiencies;Combined immunodeficiencies with associated or syndromic features;Immunodeficiency 11A, 615206 (AR)				25352053;23374270;29074947;23129749;23561803;30170123;28628108;28826773		False	3	75;25;0	1.143	False	Other - please provide details in the comments	ENSG00000198286	ENSG00000198286	HGNC:16393													
